,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
51711,20011120X02265,Accident,SEA02LA010,2001-11-02,"ONTARIO, OR",United States,Substantial,,Fetherolf,Hatz CB-1,1.0,Reciprocating,Personal,Landing
51712,20011114X02238,Accident,NYC02LA024,2001-11-02,"ARGYLE, NY",United States,Substantial,,Cessna,172D,1.0,Reciprocating,Personal,Maneuvering
51713,20011106X02198,Accident,CHI02LA018,2001-11-02,"PEORIA, IL",United States,Substantial,,Piper,PA-28R-201T,1.0,Reciprocating,Personal,Landing
51715,20011125X02293,Accident,NYC02LA031,2001-11-03,"NORTH LIMA, OH",United States,Substantial,,Maule,M7-260,1.0,Reciprocating,Personal,Landing
51716,20011228X02462,Accident,NYC02LA021,2001-11-03,"ROANOKE, VA",United States,Substantial,,Piper,PA-22-108,1.0,Reciprocating,Personal,Climb
51717,20011107X02206,Accident,LAX02LA022,2001-11-03,"AVALON, CA",United States,Substantial,,Piper,PA-32-260,1.0,Reciprocating,Personal,Climb
51718,20011204X02349,Accident,IAD02LA009,2001-11-03,"JERSEY SHORE, PA",United States,Substantial,,Schleicher,ASW-19,,,Personal,Cruise
51719,20011105X02195,Accident,FTW02LA029,2001-11-03,"DENTON, TX",United States,Substantial,,Landoll,Vans RV 3-A,1.0,Reciprocating,Personal,Takeoff
51721,20011107X02203,Accident,ATL02LA009,2001-11-03,"LOCUST GROVE, GA",United States,Substantial,,Bass,Moni,1.0,Reciprocating,Personal,Maneuvering
51722,20011108X02213,Accident,ATL02FA008,2001-11-03,"McEwen, TN",United States,Destroyed,,Piper,PA-28-181,1.0,Reciprocating,Personal,Takeoff
51723,20011113X02233,Accident,SEA02FA009,2001-11-04,"MILES CITY, MT",United States,Substantial,,Cessna,175C,1.0,Reciprocating,Personal,Cruise
51724,20011119X02263,Accident,IAD02LA010,2001-11-04,"MILLBROOK, NY",United States,Substantial,,Luscombe,8A,1.0,Reciprocating,Personal,Landing
51725,20011109X02222,Accident,DEN02LA007,2001-11-04,"PAONIA, CO",United States,Substantial,,Piper,PA-28-235,1.0,Reciprocating,Personal,Takeoff
51726,20011113X02224,Accident,CHI02LA019,2001-11-04,"PHILLIPS, WI",United States,Substantial,,Piper,PA-32-301T,1.0,Reciprocating,Personal,Takeoff
51728,20011120X02275,Accident,LAX02FA020,2001-11-04,"ESCONDIDO, CA",United States,Destroyed,,Robinson,R-22 BETA,1.0,Reciprocating,Personal,Landing
51729,20020107X00043,Accident,CHI02LA038,2001-11-05,"HAWLEY, MN",United States,Substantial,,Bellanca,7GCBC,1.0,Reciprocating,Personal,Landing
51731,20011107X02207,Accident,CHI02LA021,2001-11-05,"LAMBERTVILLE, MI",United States,Substantial,,Robinson,R22 BETA,1.0,Reciprocating,Personal,Landing
51732,20011120X02266,Accident,SEA02FA011,2001-11-05,"Lucile, ID",United States,Destroyed,,Cessna,A185F,1.0,Reciprocating,Unknown,Unknown
51735,20011108X02216,Accident,CHI02LA020,2001-11-06,"MIDDLETON, WI",United States,Substantial,,Maule,MX-7,1.0,Reciprocating,Personal,Takeoff
51738,20011128X02305,Accident,CHI02LA023,2001-11-07,"BACKUS, MN",United States,Substantial,,Taylorcraft,F19,1.0,Reciprocating,Personal,Cruise
51739,20011114X02235,Accident,ATL02FA010,2001-11-07,"Winston Salem, NC",United States,Destroyed,,Cessna,310Q,2.0,Reciprocating,Business,Takeoff
51740,20011113X02232,Accident,SEA02LA012,2001-11-08,"EATONVILLE, WA",United States,Substantial,,Thurston,Pitts S-1S,1.0,Reciprocating,Personal,Descent
51741,20011114X02237,Accident,MIA02LA015,2001-11-08,"GAINESVILLE, FL",United States,Substantial,,Cessna,177,1.0,Reciprocating,Personal,Approach
51742,20011113X02227,Accident,LAX02LA023,2001-11-08,"HERALD, CA",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Personal,Go-around
51743,20011116X02255,Accident,DEN02LA008,2001-11-08,"NEPHI, UT",United States,Substantial,,Cessna,140,1.0,Reciprocating,Personal,Maneuvering
51746,20011120X02272,Accident,LAX02LA027,2001-11-09,"NORTH LAS VEGAS, NV",United States,Substantial,,Cessna,210K,1.0,Reciprocating,Personal,Unknown
51747,20011113X02230,Accident,LAX02LA024,2001-11-09,"COPPEROPOLIS, CA",United States,Substantial,,Taylorcraft,BC12-D,1.0,Reciprocating,Personal,Approach
51748,20011121X02280,Accident,DEN02TA011,2001-11-09,"CASPER, WY",United States,Substantial,,Cessna,206,1.0,Reciprocating,Public Aircraft,Cruise
51751,20011120X02274,Accident,LAX02LA025,2001-11-10,"NOGALES, AZ",United States,Substantial,,Cessna,150L,1.0,Reciprocating,Personal,Go-around
51753,20011116X02257,Accident,FTW02LA035,2001-11-10,"MANVEL, TX",United States,Substantial,,Terry,Zenith 801,1.0,Reciprocating,Personal,Maneuvering
51755,20011123X02288,Accident,CHI02LA030,2001-11-10,"HILLMAN, MN",United States,Substantial,,Aero Commander,100,1.0,Reciprocating,Personal,Takeoff
51756,20011113X02228,Accident,CHI02LA026,2001-11-10,"WAHOO, NE",United States,Substantial,,Cessna,182A,1.0,Reciprocating,Personal,Cruise
51757,20011116X02248,Accident,ATL02LA012B,2001-11-10,"ST. AUGUSTINE, FL",United States,Substantial,,James D. Smith,RV-3,1.0,Reciprocating,Personal,Landing
51758,20011116X02254,Accident,DEN02LA009,2001-11-10,"Evans, CO",United States,Destroyed,,Esbenshade,Starduster Too SA300,1.0,Reciprocating,Personal,Maneuvering
51759,20011123X02292,Accident,CHI02LA037,2001-11-10,"Sherburn, MN",United States,Destroyed,,Vermeys,T-Bird II,1.0,Reciprocating,Personal,Maneuvering
51760,20011113X02229,Accident,CHI02LA027,2001-11-10,"Mounds View, MN",United States,Destroyed,,Beech,V35,1.0,Reciprocating,Personal,Approach
51761,20011116X02248,Accident,ATL02LA012A,2001-11-10,"St. Augustine, FL",United States,Minor,,Extra Flugzeugbau,EA300/L,1.0,Reciprocating,Other Work Use,Approach
51763,20011120X02269,Accident,CHI02LA028,2001-11-11,"NEVADA, MO",United States,Substantial,,Bellanca,17-30A,1.0,Reciprocating,Personal,Takeoff
51765,20011130X02320,Accident,NYC02FA025,2001-11-11,"Mansfield, OH",United States,Destroyed,,Piper,PA-28-180,1.0,Reciprocating,Personal,Cruise
51766,20011202X02329,Accident,NYC02TA026,2001-11-12,"WHITLEY CITY, KY",United States,Substantial,,Bell,407,1.0,Turbo Shaft,Public Aircraft,Cruise
51767,20011115X02241,Accident,CHI02LA029,2001-11-12,"KEOSAUQUA, IA",United States,Substantial,,Schenfield,Acro Sport II,1.0,Reciprocating,Personal,Landing
51768,20011119X02259,Accident,FTW02FA036,2001-11-12,"Graham, TX",United States,Destroyed,Airplane,Piper,PA-31T1,2.0,Turbo Prop,Executive/corporate,Approach
51769,20011130X02321,Accident,DCA02MA001,2001-11-12,"Belle Harbor, NY",United States,Destroyed,,Airbus Industrie,A300B4-605R,2.0,Turbo Fan,,Takeoff
51771,20011119X02258,Accident,SEA02LA013,2001-11-13,"BREWSTER, WA",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Personal,Takeoff
51773,20011115X02243,Accident,FTW02LA032,2001-11-13,"HOUSTON, TX",United States,Substantial,,Aero Commander,200D,1.0,Reciprocating,Personal,Cruise
51774,20011120X02271,Accident,LAX02FA028,2001-11-13,"Santa Monica, CA",United States,Destroyed,,Cessna,340A,2.0,Reciprocating,Personal,Takeoff
51779,20011121X02283,Accident,SEA02LA015,2001-11-15,"PASCO, WA",United States,Substantial,,Cessna,402B,2.0,Reciprocating,Other Work Use,Landing
51780,20011121X02277,Accident,MIA02LA016,2001-11-15,"MADISON, MS",United States,Substantial,,Cessna,T310R,2.0,Reciprocating,Business,Landing
51782,20011121X02285,Accident,FTW02LA039,2001-11-15,"GALVESTON, TX",United States,Substantial,,Piper,PA-32-300,1.0,Reciprocating,Personal,Taxi
51783,20011203X02332,Accident,IAD02LA013,2001-11-15,"Leesburg, VA",United States,Destroyed,,Cessna,172S,1.0,Reciprocating,Personal,Standing
51784,20011123X02289,Accident,CHI02FA033,2001-11-15,"Wentzville, MO",United States,Destroyed,,Zenair,CH2000,1.0,Reciprocating,Personal,Cruise
51785,20011210X02374,Accident,MIA02LA040,2001-11-16,"SWANEE, GA",United States,Substantial,,Eurocopter,AS-350-BA,,Turbo Shaft,Executive/corporate,Maneuvering
51786,20011123X02286,Accident,MIA02LA017,2001-11-16,"PEACHTREE CITY, GA",United States,Substantial,,Piper,PA-24-250,1.0,Reciprocating,Business,Cruise
51787,20011212X02392,Accident,FTW02LA049,2001-11-16,"ALTUS, OK",United States,Substantial,,Beech,BE-50,2.0,Reciprocating,Personal,Landing
51788,20011130X02323,Accident,MIA02FA032,2001-11-16,"Poplarville, MS",United States,Destroyed,,Cessna,152,1.0,Reciprocating,Personal,Cruise
51789,20011121X02284,Accident,DEN02LA012,2001-11-16,"Montrose, CO",United States,Destroyed,,Cessna,T210N,1.0,Reciprocating,Personal,Takeoff
51790,20011123X02290,Accident,CHI02FA034,2001-11-16,"Spearville, KS",United States,Destroyed,,Piper,PA-32R-301,1.0,Reciprocating,Personal,Cruise
51791,20011121X02281,Accident,MIA02LA018,2001-11-17,"BELLE GLADE, FL",United States,Substantial,,Beech,P35,1.0,Reciprocating,Personal,Cruise
51792,20011127X02296,Accident,FTW02LA038,2001-11-17,"RICHMOND, TX",United States,Substantial,,Hughes,269C,1.0,Reciprocating,Personal,Landing
51794,20011123X02291,Accident,CHI02LA035,2001-11-17,"GREENWOOD, IN",United States,Substantial,,Beech,76,2.0,Reciprocating,Personal,Landing
51795,20011120X02267,Accident,MIA02LA021,2001-11-18,"SOUTHERN PINES, NC",United States,Substantial,,Ercoupe (Eng & Research Corp.),415-C,1.0,Reciprocating,Personal,Cruise
51796,20011123X02287,Accident,MIA02LA020,2001-11-18,"HIGH SPRINGS, FL",United States,Substantial,,Mooney,M20C,1.0,Reciprocating,Personal,Cruise
51797,20011121X02279,Accident,MIA02LA019,2001-11-18,"DELAND, FL",United States,Substantial,,Piper,PA-28-181,1.0,Reciprocating,Personal,Takeoff
51798,20011129X02316,Accident,CHI02LA041,2001-11-18,"SEDALIA, MO",United States,Substantial,,Cessna,152,1.0,Reciprocating,Personal,Cruise
51799,20011129X02315,Accident,CHI02LA040,2001-11-18,"RICHLAND, MO",United States,Substantial,,Lyon,Horizon 1,1.0,Reciprocating,Personal,Landing
51800,20011121X02278,Accident,MIA02LA022,2001-11-18,"Oneonta, AL",United States,Destroyed,,Robert N. Gilmore,Rans S-10,1.0,Reciprocating,Personal,Takeoff
51801,20011128X02307,Accident,FTW02FA037,2001-11-19,"PATTERSON, LA",United States,Substantial,,Grumman American,AA-1B,1.0,Reciprocating,Personal,Takeoff
51802,20011129X02313,Accident,MIA02LA035,2001-11-20,"FAIRHOPE, AL",United States,Substantial,,Cessna,175A,1.0,Reciprocating,Personal,Landing
51804,20011203X02331,Accident,MIA02LA025,2001-11-20,"EVANS, GA",United States,Substantial,,Piper,PA-24-250,1.0,Reciprocating,Personal,Cruise
51806,20011129X02310,Accident,MIA02LA023,2001-11-20,"MEMPHIS, TN",United States,Substantial,,Boeing,727-233,3.0,Turbo Fan,,Approach
51808,20011217X02404,Accident,NYC02LA033,2001-11-21,"BROOKVILLE, PA",United States,Substantial,,Cessna,182,1.0,Reciprocating,Personal,Cruise
51809,20011204X02345,Accident,MIA02LA030,2001-11-21,"MILTON, FL",United States,Substantial,,Beech,A36,1.0,Reciprocating,Personal,Descent
51810,20011210X02376,Accident,IAD02LA017,2001-11-21,"WEST CHESTER, PA",United States,Substantial,,Cessna,152,1.0,Reciprocating,Personal,Landing
51811,20011129X02317,Accident,NYC02FA032,2001-11-21,"Falmouth, MA",United States,Destroyed,,Beech,95-B55,2.0,Reciprocating,Personal,Descent
51812,20011206X02358,Accident,LAX02FA031,2001-11-21,"EAGLEVILLE, CA",United States,Destroyed,,Aero Commander,500S,2.0,Reciprocating,Personal,Cruise
51813,20020111X00060,Accident,FTW02LA065B,2001-11-22,"PARIS, TX",United States,Substantial,,Beech,BE-35C,1.0,Reciprocating,Personal,Standing
51814,20020111X00060,Accident,FTW02LA065A,2001-11-22,"PARIS, TX",United States,Substantial,,Piper,J3C-65,1.0,Reciprocating,Personal,Taxi
51816,20011127X02298,Accident,FTW02LA041,2001-11-22,"MARION, TX",United States,Substantial,,Globe,GC-1B,1.0,Reciprocating,Personal,Takeoff
51817,20011130X02324,Accident,MIA02LA027,2001-11-22,"Hilton Head, SC",United States,Destroyed,,Mooney,M-20-20,1.0,Reciprocating,Personal,Cruise
51818,20011129X02311,Accident,MIA02FA026,2001-11-22,"Tallassee, AL",United States,Destroyed,,Enstrom,280FX,1.0,Reciprocating,Personal,Approach
51820,20011127X02297,Accident,FTW02FA040,2001-11-22,"Ben Wheeler, TX",United States,Destroyed,,Piper,PA-28-160,1.0,Reciprocating,Personal,Cruise
51822,20011204X02346,Accident,MIA02LA031,2001-11-23,"BARCELONETA, PR",United States,Substantial,,Cessna,172M,1.0,Reciprocating,Personal,Maneuvering
51823,20011127X02304,Accident,FTW02LA043,2001-11-23,"ALAMOGORDO, NM",United States,Substantial,,Eiriavion Oy,PIK 20D,0.0,,Personal,Takeoff
51826,20011205X02355,Accident,FTW02LA045,2001-11-24,"GILCHRIST, TX",United States,Substantial,,Cessna,140,1.0,Reciprocating,Personal,Takeoff
51830,20011128X02306,Accident,CHI02LA039,2001-11-25,"HARRISONVILLE, MO",United States,Substantial,,Luscombe,8A,1.0,Reciprocating,Personal,Landing
51832,20011130X02322,Accident,SEA02LA018,2001-11-26,"OLYMPIA, WA",United States,Substantial,,Luscombe,8C,1.0,Reciprocating,Personal,Landing
51833,20011127X02303,Accident,MIA02LA033,2001-11-26,"BURGAW, NC",United States,Substantial,,Vernon D. Pitts,RV-4,1.0,Reciprocating,Personal,Approach
51834,20011129X02312,Accident,MIA02LA034,2001-11-26,"Reidsville, GA",United States,Destroyed,,Cessna,310C,2.0,Reciprocating,Personal,Cruise
51839,20011206X02356,Accident,CHI02FA042,2001-11-27,"Evansville, IN",United States,Destroyed,,Mooney,M20M,1.0,Reciprocating,Personal,Climb
51842,20011210X02371,Accident,MIA02LA036,2001-11-29,"POMPANO BEACH, FL",United States,Substantial,,Grumman American,AA-1C,1.0,Reciprocating,Personal,Takeoff
51844,20011130X02327,Accident,LAX02LA030,2001-11-29,"FLAGSTAFF, AZ",United States,Substantial,,Beech,C-99,2.0,Turbo Prop,,Go-around
51846,20011226X02441,Accident,LAX02LA034B,2001-11-30,"LAS VEGAS, NV",United States,Substantial,,Air Tractor,AT-402A,1.0,Turbo Prop,Personal,Landing
51848,20011204X02344,Accident,CHI02LA044,2001-11-30,"ST PAUL, MN",United States,Substantial,,Mitsubishi,MU-2B-40,2.0,Turbo Prop,Business,Approach
51849,20011226X02441,Accident,LAX02LA034A,2001-11-30,"Las Vegas, NV",United States,,,Air Tractor,AT-401B,1.0,Reciprocating,Personal,Landing
51850,20011204X02343,Accident,CHI02LA043,2001-11-30,"Romulus, MI",United States,,,Mcdonnell Douglas Aircraft Co,DC-9-82,2.0,Turbo Fan,,Cruise
51851,20011210X02375,Accident,LAX02LA036,2001-12-01,"PRESCOTT, AZ",United States,Substantial,,Piper,PA-24-250,1.0,Reciprocating,Personal,Approach
51852,20011212X02391,Accident,LAX02LA035,2001-12-01,"BANNING, CA",United States,Substantial,,Classic Aircraft Corp.,WACO YMF,1.0,Reciprocating,Personal,Approach
51854,20011204X02354,Accident,DEN02LA013,2001-12-01,"BRYCE, UT",United States,Substantial,,Bell,206B,1.0,Turbo Shaft,,Takeoff
51855,20011204X02347,Accident,MIA02LA038,2001-12-01,"Linden, NC",United States,Destroyed,,Byrd,KR-2S,1.0,Reciprocating,Personal,Approach
51856,20011210X02372,Accident,MIA02FA037,2001-12-01,"Bessemer, AL",United States,Destroyed,,Cessna,208B,1.0,Turbo Prop,,Go-around
51858,20011207X02370,Accident,LAX02FA038,2001-12-02,"El Dorado, CA",United States,Destroyed,,Piper,PA-24-250,1.0,Reciprocating,Personal,Cruise
51859,20011212X02390,Accident,LAX02LA039,2001-12-03,"AIEIA, HI",United States,Substantial,,Bell,206 B-2,1.0,Turbo Shaft,Other Work Use,Maneuvering
51861,20011226X02440,Accident,LAX02FA040,2001-12-04,"CORONA, CA",United States,Substantial,,Cessna,172C,1.0,Reciprocating,Personal,Landing
51862,20011207X02363,Accident,ATL02LA016,2001-12-04,"HAMPSTEAD, NC",United States,Substantial,,"Whitty, Philip J.",Mustang II,1.0,Reciprocating,Personal,Cruise
51863,20011210X02373,Accident,MIA02FA039,2001-12-04,"Johnson City, TN",United States,Destroyed,,Beech,BE-55-T42A,2.0,Reciprocating,Personal,Maneuvering
51865,20011211X02385,Accident,NYC02LA034,2001-12-05,"SPENCERPORT, NY",United States,Substantial,,Gillette,Baby Ace,1.0,Reciprocating,Personal,Approach
51866,20011211X02387,Accident,CHI02LA046,2001-12-05,"TECUMSEH, MI",United States,Substantial,,Miller,Lancair 235,1.0,Reciprocating,Personal,Takeoff
51867,20011226X02439,Accident,LAX02FA041,2001-12-05,"Prescott, AZ",United States,Destroyed,,Cessna,182E,1.0,Reciprocating,Personal,Takeoff
51868,20011221X02434,Accident,SEA02LA019,2001-12-06,"SIDNEY, MT",United States,Substantial,,Cessna,310,2.0,Reciprocating,,Takeoff
51870,20011211X02386,Accident,MIA02LA042,2001-12-07,"NEWNAN, GA",United States,Substantial,,Ferguson,A 26 Vulcan SS,2.0,Reciprocating,Personal,Landing
51871,20011212X02393,Accident,LAX02LA042,2001-12-07,"BANNING, CA",United States,Substantial,,Burkhart Grob,G102 Club Astir IIIB,0.0,,Personal,Approach
51872,20011218X02416,Accident,IAD02LA019,2001-12-07,"LIVERMORE FALLS, ME",United States,Substantial,,Piper,J3,1.0,Reciprocating,Personal,Landing
51873,20011220X02428,Accident,FTW02LA056,2001-12-07,"SANTA ROSA, NM",United States,Substantial,,Beech,BE-90-E90,2.0,Turbo Prop,,Landing
51874,20011214X02399,Accident,FTW02LA055,2001-12-07,"HALTOM CITY, TX",United States,Substantial,,Luscombe,8A,1.0,Reciprocating,Personal,Cruise
51879,20011226X02438,Accident,NYC02LA036,2001-12-09,"BOSTON, MA",United States,Substantial,,Rockwell,NA-265-80,2.0,Turbo Fan,,Landing
51880,20011213X02397,Accident,LAX02LA044,2001-12-09,"HONOLULU, HI",United States,Substantial,,Cessna,150K,1.0,Reciprocating,Personal,Cruise
51881,20011213X02395,Accident,FTW02LA050,2001-12-09,"COMFORT, TX",United States,Substantial,,Heard,RV-6A,1.0,Reciprocating,Personal,Landing
51882,20011218X02405,Accident,CHI02LA053,2001-12-09,"REEDSBURG, WI",United States,Substantial,,Cessna,172L,1.0,Reciprocating,Personal,Takeoff
51883,20011227X02445,Accident,CHI02LA048,2001-12-09,"O'NEILL, NE",United States,Substantial,,Piper,PA-38-112,1.0,Reciprocating,Personal,Cruise
51884,20011220X02426,Accident,CHI02LA047,2001-12-09,"LAWRENCE, KS",United States,Substantial,,Dassault Aviation,Falcon 100,2.0,Turbo Jet,Executive/corporate,Landing
51885,20011213X02398,Accident,LAX02LA043,2001-12-09,"Marina, CA",United States,Destroyed,,Rominger,Zic Zac Bird,1.0,Reciprocating,Personal,Approach
51886,20011221X02432,Accident,FTW02FA054,2001-12-09,"Monticello, AR",United States,Destroyed,,Cessna,T210-M,1.0,Reciprocating,Personal,Cruise
51887,20011227X02444,Accident,CHI02FAMS1,2001-12-09,"Lake Michigan, IL",United States,Destroyed,,Cessna,R182,1.0,Reciprocating,Unknown,Cruise
51888,20011221X02435,Accident,SEA02LA020,2001-12-10,"HALFWAY, OR",United States,Substantial,,Maule,M-7-235,1.0,Reciprocating,Business,Landing
51889,20011218X02411,Accident,FTW02TA051,2001-12-10,"SAN ANTONIO, TX",United States,Substantial,,Cessna,T210K,1.0,Reciprocating,Business,Approach
51893,20011213X02396,Accident,LAX02LA046,2001-12-11,"LA VERNE, CA",United States,Substantial,,Piper,PA-28-180,1.0,Reciprocating,Personal,Landing
51895,20020228X00284,Accident,SEA02LA037,2001-12-11,"Netarts, OR",United States,Destroyed,,Mooney,M20C,1.0,Reciprocating,Business,Unknown
51896,20011219X02419,Accident,FTW02LA053,2001-12-12,"SIERRA BLANCA, TX",United States,Substantial,,Ryan,Navion A,1.0,Reciprocating,Personal,Cruise
51898,20011218X02407,Accident,MIA02FA045,2001-12-12,"Jacksonville, FL",United States,Destroyed,,Piper,PA-32-260,1.0,Reciprocating,Business,Go-around
51899,20011218X02406,Accident,MIA02FA044,2001-12-12,"Raleigh, NC",United States,Destroyed,,Piper,PA-46-350P,1.0,Reciprocating,Business,Go-around
51901,20011220X02427,Accident,ATL02FA017,2001-12-12,"Montgomery, AL",United States,Destroyed,,Beech,BE-55,2.0,Reciprocating,Personal,Maneuvering
51902,20011228X02466,Accident,LAX02LA048,2001-12-13,"GROVELAND, CA",United States,Substantial,,Piper,PA-32R-301T,1.0,Reciprocating,Personal,Landing
51903,20011220X02429,Accident,DEN02LA014,2001-12-13,"BROOMFIELD, CO",United States,Substantial,,Cessna,172N,1.0,Reciprocating,Personal,Landing
51906,20011228X02465,Accident,LAX02FA049,2001-12-14,"San Jacinto, CA",United States,Destroyed,,Cessna,T210L,1.0,Reciprocating,Personal,Approach
51908,20020103X00016,Accident,NYC02LA041,2001-12-15,"NORFOLK, VA",United States,Substantial,,Cessna,182Q,1.0,Reciprocating,Personal,Landing
51909,20011227X02451,Accident,LAX02LA050,2001-12-16,"SANTA MARIA, CA",United States,Substantial,,Cessna,R182,1.0,Reciprocating,Personal,Approach
51910,20011218X02413,Accident,FTW02LA057,2001-12-16,"El Paso, TX",United States,Destroyed,,Schleicher,ASW-24E,1.0,Reciprocating,Personal,Takeoff
51911,20020213X00215,Accident,NYC02LA039,2001-12-17,"CROSS KEYS, NJ",United States,Substantial,,Piper,PA-28,1.0,Reciprocating,Personal,Landing
51912,20011227X02450,Accident,LAX02LA051,2001-12-17,"CAMARILLO, CA",United States,Substantial,,Vernon,Sonerai IIL,1.0,Reciprocating,Personal,Landing
51913,20020104X00025,Accident,IAD02LA020,2001-12-17,"MARTINSBURG, WV",United States,Substantial,,Cessna,401A,2.0,Reciprocating,Personal,Cruise
51915,20011218X02415,Accident,CHI02LA052,2001-12-17,"CLINTON, MO",United States,Substantial,,Piper,PA-34,2.0,Reciprocating,Business,Cruise
51917,20011221X02431,Accident,MIA02LA046,2001-12-18,"NEW SMYRNA BCH, FL",United States,Substantial,,Cessna,172M,1.0,Reciprocating,Personal,Takeoff
51918,20011227X02449,Accident,LAX02LA052,2001-12-18,"RENO, NV",United States,Substantial,,Cessna,185F,1.0,Reciprocating,Personal,Landing
51919,20011220X02430,Accident,DEN02LA015,2001-12-18,"CRESTED BUTTE, CO",United States,Substantial,,Piper,PA-28-235,1.0,Reciprocating,Personal,Landing
51920,20020104X00024,Accident,CHI02LA054,2001-12-18,"NASHVILLE, MI",United States,Substantial,,Cessna,182K,1.0,Reciprocating,Personal,Landing
51921,20011227X02453,Accident,FTW02LA059,2001-12-18,"Mcintosh, NM",United States,,,Cameron Balloons,Z-90,0.0,,Personal,Landing
51922,20011227X02448,Accident,LAX02LA053,2001-12-19,"SAN DIEGO, CA",United States,Substantial,,Cessna,T210N,1.0,Reciprocating,Personal,Approach
51923,20011220X02425,Accident,ATL02LA018,2001-12-19,"SANFORD, FL",United States,Substantial,,Pitts,S-1S,1.0,Reciprocating,Personal,Landing
51925,20020103X00015,Accident,IAD02LA021,2001-12-20,"LEWISTON, ME",United States,Substantial,,Cessna,208B,1.0,Turbo Prop,,Takeoff
51926,20020104X00022,Accident,NYC02LA042,2001-12-20,"Boston, MA",United States,,,Raytheon,BE-1900D,2.0,Turbo Prop,,Standing
51928,20011227X02443,Accident,CHI02LA055,2001-12-21,"ELKHART, IN",United States,Substantial,,Cessna,182P,1.0,Reciprocating,Personal,Approach
51929,20011228X02456,Accident,ATL02TA021,2001-12-21,"AWENDAW, SC",United States,Substantial,,Bell,206,1.0,Turbo Shaft,Public Aircraft,Maneuvering
51930,20011228X02454,Accident,ATL02LA019,2001-12-21,"VERO BEACH, FL",United States,Substantial,,Cessna,210D,1.0,Reciprocating,Personal,Approach
51933,20020103X00020,Accident,LAX02LA055,2001-12-24,"SANTA ROSA, CA",United States,Substantial,,Cessna,T210M,1.0,Reciprocating,Personal,Cruise
51934,20011228X02461,Accident,LAX02LA054,2001-12-24,"PRESCOTT, AZ",United States,Substantial,,Piper,PA-28RT-201,1.0,Reciprocating,Personal,Takeoff
51935,20011227X02446,Accident,CHI02LA056,2001-12-25,"OLATHE, KS",United States,Substantial,,Piper,PA-32-300,1.0,Reciprocating,Personal,Landing
51936,20020103X00014,Accident,LAX02FA056,2001-12-25,"SAN CLEMENTE, CA",United States,Destroyed,,Cessna,172N,1.0,Reciprocating,Personal,Cruise
51937,20020103X00006,Accident,NYC02LA043,2001-12-26,"FALMOUTH, KY",United States,Substantial,,Cessna,182,1.0,Reciprocating,Personal,Cruise
51938,20011228X02459,Accident,ATL02LA023,2001-12-26,"KENNESAW, GA",United States,Substantial,,Piper,PA-28-161,1.0,Reciprocating,Personal,Descent
51939,20011228X02460,Accident,LAX02LA058,2001-12-26,"Winters, CA",United States,Destroyed,,Aeronca,7AC,1.0,Reciprocating,Personal,Standing
51941,20020107X00038,Accident,ATL02LA024,2001-12-27,"TRENTON, FL",United States,Substantial,,Cessna,172M,1.0,Reciprocating,Personal,Cruise
51942,20020103X00007,Accident,DEN02GA016,2001-12-27,"Park City, UT",United States,Destroyed,,Hughes,369E,1.0,Turbo Shaft,Public Aircraft,Maneuvering
51943,20011231X02467,Accident,CHI02FA059,2001-12-28,"INDEPENDENCE, KS",United States,Substantial,,Borgman,Smyth Sidewinder,1.0,Reciprocating,Personal,Approach
51944,20020114X00069,Accident,ANC02LA008,2001-12-28,"ANCHORAGE, AK",United States,Substantial,,Boeing,747-128,4.0,Turbo Fan,,Takeoff
51947,20020103X00012,Accident,SEA02LA021,2001-12-29,"ASHLAND, OR",United States,Substantial,,King,Kitfox IV,1.0,Reciprocating,Personal,Landing
51949,20020111X00062,Accident,ATL02LA028,2001-12-29,"LAJAS, PR",United States,Substantial,,Pioneer,85,1.0,Reciprocating,Personal,Landing
51950,20020103X00011,Accident,ATL02LA027,2001-12-29,"BENTON, TN",United States,Substantial,,Flugzeugbau,DG-200,,,Personal,Maneuvering
51951,20020103X00010,Accident,ATL02FA026,2001-12-29,"Gainesville, GA",United States,Destroyed,,Mooney,M20C,1.0,Reciprocating,Personal,Approach
51952,20020103X00008,Accident,ATL02FA025,2001-12-29,"Lilburn, GA",United States,Destroyed,,Cessna,C-210N,1.0,Reciprocating,Personal,Climb
51953,20020104X00021,Accident,IAD02LA023,2001-12-30,"MARTINSVILLE, VA",United States,Substantial,,Mooney,M20C,1.0,Reciprocating,Personal,Takeoff
51954,20020103X00019,Accident,IAD02LA022,2001-12-30,"TAPPAHANNOCK, VA",United States,Substantial,,Cessna,310H,2.0,Reciprocating,Personal,Cruise
51955,20020110X00057,Accident,IAD02FA024,2001-12-30,"MILFORD, CT",United States,Substantial,Airplane,Piper,PA-28R-180,1.0,Reciprocating,Personal,Approach
51957,20020104X00023,Accident,NYC02FA044,2001-12-31,"Armonk, NY",United States,Destroyed,,Raytheon,BE-23-B24R,1.0,Reciprocating,Personal,Approach
51959,20020107X00039,Accident,MIA02FA048,2002-01-01,"HOLLYWOOD, FL",United States,Substantial,,Piper,PA-31-350,2.0,Reciprocating,,Descent
